Date,^GSPC,^NDX,^STOXX50E,^FTSE,^GDAXI,^N225,000001.SS,^NSEI,^HSI,^AXJO
2010-01-04,1132.989990234375,1886.699951171875,3017.800048828125,5500.2998046875,6048.2998046875,10654.7900390625,3243.760009765625,5232.2001953125,21823.279296875,4876.2998046875
2010-01-05,1136.52001953125,1888.4300537109375,3012.360107421875,5522.5,6031.85986328125,10681.830078125,3282.178955078125,5277.89990234375,22279.580078125,4924.2998046875
2010-01-06,1137.1400146484375,1878.4200439453125,3009.659912109375,5530.0,6034.330078125,10731.4501953125,3254.215087890625,5281.7998046875,22416.669921875,4921.39990234375
2010-01-07,1141.68994140625,1876.719970703125,3007.340087890625,5526.7001953125,6019.35986328125,10681.66015625,3192.77587890625,5263.10009765625,22269.44921875,4899.39990234375
2010-01-08,1144.97998046875,1892.5899658203125,3017.85009765625,5534.2001953125,6037.60986328125,10798.3203125,3195.9970703125,5244.75,22296.75,4912.10009765625
2010-01-11,1146.97998046875,1886.239990234375,3010.239990234375,5538.10009765625,6040.5,,3212.75,5249.39990234375,22411.51953125,4950.7001953125
2010-01-12,1136.219970703125,1861.7900390625,2976.889892578125,5498.7001953125,5943.0,10879.1396484375,3273.966064453125,5210.39990234375,22326.640625,4899.5
2010-01-13,1145.6800537109375,1886.1300048828125,2978.409912109375,5473.5,5963.14013671875,10735.0302734375,3172.657958984375,5233.9501953125,21748.599609375,4868.10009765625
2010-01-14,1148.4599609375,1886.52001953125,2989.7099609375,5498.2001953125,5988.8798828125,10907.6796875,3215.550048828125,5259.89990234375,21716.94921875,4898.0
2010-01-15,1136.030029296875,1864.52001953125,2940.25,5455.39990234375,5875.97021484375,10982.099609375,3224.152099609375,5252.2001953125,21654.16015625,4899.60009765625
2010-01-18,,,2957.8701171875,5494.39990234375,5918.5498046875,10855.080078125,3237.097900390625,5274.85009765625,21460.009765625,4911.10009765625
2010-01-19,1150.22998046875,1895.47998046875,2984.820068359375,5513.10009765625,5976.47998046875,10764.900390625,3246.8740234375,5225.64990234375,21677.98046875,4861.2001953125
2010-01-20,1138.0400390625,1867.949951171875,2914.60009765625,5420.7998046875,5851.52978515625,10737.51953125,3151.85009765625,5221.7001953125,21286.169921875,4868.2001953125
2010-01-21,1116.47998046875,1850.5699462890625,2863.25,5335.10009765625,5746.97021484375,10868.41015625,3158.863037109375,5094.14990234375,20862.669921875,4827.2001953125
2010-01-22,1091.760009765625,1794.8199462890625,2836.800048828125,5303.0,5695.31982421875,10590.5498046875,3128.587890625,5036.0,20726.1796875,4750.60009765625
2010-01-25,1096.780029296875,1802.3900146484375,2807.300048828125,5260.2998046875,5631.3701171875,10512.6904296875,3094.410888671875,5007.89990234375,20598.55078125,4717.89990234375
2010-01-26,1092.1700439453125,1803.8599853515625,2827.739990234375,5276.89990234375,5668.93017578125,10325.2802734375,3019.39404296875,,20109.330078125,
2010-01-27,1097.5,1818.9000244140625,2787.39990234375,5217.5,5643.2001953125,10252.080078125,2986.60693359375,4853.10009765625,20033.0703125,4644.60009765625
